"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"CNTNAP4",0,0,0,2.02e-05,0,0,0,0,0,0,0.000424088,0.000388423
"COL13A1",0.000992828,0.000437514,0.001537748,0.003663249,0.000837983,0.000395119,0.005919593,0.001396421,0.001008724,0.00046543,0.000299019,0.000746907
"COL17A1",0.109782966,0.135957669,0.148587923,0.000804281,0.046240017,0.121915263,0.182712238,0.592433049,0.018619554,0.361190143,0.136186769,0.315741489
"COL23A1",8.92e-05,9.61e-05,0.000149982,0,5.95e-05,2.81e-05,0.000506941,1.6e-05,9.51e-05,8.81e-05,0.000149982,4.46e-05
"COL6A2",0.003682044,0.002614622,0.003272286,0.000826345,0.041527052,0.000773617,0.002724283,0.002641533,0.03597578,0.001749127,0.01785651,0.003520107
"COLEC12",0.001188164,0.001119403,0.002455407,0.004696045,0.001298925,0.0022841,0.002609992,0.002437811,0.002183079,0.0010199,0.005553218,0.00062429
"CORIN",0,6.18e-07,3.62e-07,3.67e-06,0,3.62e-07,0,0,3.67e-06,9.27e-07,3.62e-07,0
"CPAMD8",2.08e-05,0.000445462,3.63e-05,0.000421106,1.94e-05,7.87e-06,0.005741864,0.000164083,6.94e-05,0.000205329,1.7e-05,9.13e-05
"CPD",0.00619438,0.001652122,0.003910175,0.000652838,0.004946089,0.002038548,0.006132434,0.003240632,0.015786753,0.005351275,0.012396416,0.002099813
"CPM",0.000148564,0.001385168,0.004471343,0.003822695,0.000300814,0.000363744,0.000738294,0.00291457,0.000143327,0.000798035,0.002203819,0.000231064
"CPO",0,0,0,0,0,0,3.76e-06,0,3.76e-06,0,0,0
"CR1",0,0,0,1.48e-05,0,1.05e-06,1.11e-05,0,0,1.96e-06,0,1.25e-05
"CR2",0.004756304,0.000534399,0.003760051,0.012478961,5.01e-05,0,0.003808358,4.86e-05,0.006131697,0.005781223,0.000371873,0.000300398
"CRB1",0,1.95e-06,1.64e-06,0,0,1.64e-06,1.54e-06,9.73e-07,7.72e-07,0,0,0
"CRB2",0,2.36e-06,5.42e-07,6.73e-07,9.24e-07,1.62e-06,1.35e-06,0,0,4.72e-07,1.08e-06,1.39e-06
"CRB3",0.00049099,0.000283823,0.001539406,0.000131903,0.000441453,0.000289521,0.000258667,0.001148604,0.000358022,0.000667202,0.000550796,0.000291389
"CRHR2",5.32e-07,9.07e-07,0,0,0,1.24e-06,0,0,0,0,0,0
