"","s161_P3_258","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s364_P2_972","s732_P2_199"
"LRP6",0.002927715,0.002556227,0.000916808,0.001267997,0.00129015,0.001483659,0.002517141,0.003306912,0.000625203,0.001169389,0.003176685
"LRP8",0.000680409,0.002648912,0.000355181,0.000391047,0.000962932,0.001296455,0.001377582,0.000589143,0.000752071,0.001903774,0.000167224
"LRPAP1",0.003265752,0.001987105,0.002484781,0.000507263,0.001369355,0.005622982,0.002863404,0.005871958,0.001286385,0.002421944,0.002637025
"LRRC15",4.16e-06,0,4.16e-06,0,0,1.62e-05,0,3.54e-06,1.93e-05,0.000144995,1.42e-05
"LRRC19",0,0,0,0.001715883,1.28e-05,0,0.002727865,0,0,0,0
"LRRC25",0,0.000153236,0,0,0,0.00076618,0,0,0,0,0
"LRRC26",1.76e-06,2.9e-06,8.79e-07,0,8.32e-06,2.9e-06,1.23e-05,0,0,3.78e-07,2.21e-06
"LRRC32",0,0,2.37e-06,5.55e-06,0.000229825,2.2e-06,1.66e-05,0,5.63e-05,1.41e-05,0
"LRRC37A3",9.16e-05,7.68e-06,8.04e-05,3.75e-05,0.000115303,0.000328118,8.51e-05,6.47e-05,0.000139419,0.00028866,4.38e-05
"LRRC38",0,0,0,0,0,0,0,0,0,0,0
"LRRC4",0.082616318,0.006810463,0.009733881,0.003955193,0.024652096,0.005529863,0.000243347,0.000944524,0.00025104,0.020384421,0.008500713
"LRRC4B",0,1.13e-05,0,0,9.08e-06,0,0,0,9.08e-06,0,7.92e-06
"LRRC4C",9.14e-06,1.93e-05,7.31e-06,1.27e-05,2.66e-05,1.29e-05,3.66e-06,6.36e-06,0.000225881,1.33e-05,0
"LRRC52",0,1.96e-05,0,0,2.84e-06,2.45e-05,0,3.45e-05,0,0,0
"LRRC55",0,2.66e-05,0,2.69e-06,0.000254343,6.15e-06,0,0,0,7.34e-06,0
"LRRC8A",4.52e-05,2.41e-05,6.85e-05,2.93e-05,0.000139579,0.000139946,2.18e-05,2.63e-05,7.43e-05,6.39e-05,5.08e-05
"LRRC8B",0.004074739,0.003128507,0.004842928,0.001531672,0.007545415,0.006348644,0.002475274,0.008338148,0.005548884,0.008489716,0.003708712
"LRRC8C",4.69e-05,2.6e-05,8.91e-05,4.79e-05,9.33e-05,0.000462455,4.38e-05,0.000255209,0.00147173,2.36e-05,3.11e-05
"LRRC8D",0.042217373,0.051878332,0.007154736,0.01178899,0.069194569,0.081204215,0.016878893,0.016942414,0.037398608,0.085826995,0.017447689
"LRRC8E",0.016785665,0.005315567,0.022773857,0.006850752,0.004187044,0.009463319,0.010326013,0.036256718,0.005721065,0.008600237,0.017849502
"LRRN1",0.003442886,0.016549347,0.000176558,0.017084244,0.006129411,0.050074205,0.000529675,6.06e-05,0,0.001238265,6.06e-05
"LRRN2",0.00023169,0.002268315,0.00023169,0.000492636,0.002627255,0.005849864,0.000579224,0.000246318,5.71e-05,0.001827656,0.000295582
"LRRN3",0,0,0,3.8e-06,1.46e-05,9.27e-07,1.84e-05,5.42e-07,0,5.63e-07,0
"LRRN4",0.003706462,0.000671436,0.004317213,4.16e-06,1.77e-06,0.00030432,1.62e-05,0.001153243,1.24e-05,0.000566592,0.000866491
"LRRN4CL",0,0,0,5.15e-07,0,0,8.8e-07,1.55e-06,0,1.74e-06,5.15e-07
"LRRTM2",0,1.57e-06,0,0,3.24e-06,5.23e-07,0,5.16e-07,4.31e-06,0,5.16e-07
"LRRTM3",0,0,0,0,0.000380642,0.000163832,0,0,0.023219164,0,0.000231115
"LRRTM4",5.55e-05,0,0,0,0,0,1.85e-05,0,8.6e-05,8.6e-05,0
"LRTM1",0,0,0,0,0,0,0,0,0,0,0.000668208
"LRTM2",0,0,0,0,0,1.08e-05,0,0,0,0,0
"LSAMP",0,0,0,0.00010138,0,0.001071555,0,0,0,0,0
"LSMEM1",1.47e-05,6.46e-05,1.41e-05,1.39e-05,1.52e-05,4.34e-05,6.91e-05,1.48e-05,1.14e-05,9.99e-05,3.25e-05
"LSP1",1.03e-05,0.002907596,0.000717926,8.83e-06,6.22e-05,9.6e-05,1.78e-05,0.003269389,0.009443289,3.97e-05,2.94e-06
"LSR",0.020785679,0.016356405,0.037938849,0.021818177,0.020372403,0.036431683,0.016990539,0.111637913,0.010686282,0.069583174,0.050539311
"LTB4R",0.001264397,0.001035241,0.000782156,0.004177338,0.002195565,0.005216201,0.006556488,0.001729681,0.000727036,0.000156027,0.000531487
"LTB4R2",5.66e-06,4e-06,3.28e-06,3.14e-05,7.84e-06,1.88e-05,1.92e-05,1.54e-05,4.31e-06,4.17e-06,7.32e-06
"LTBR",0.006915967,0.005342099,0.005611774,0.003005118,0.006294509,0.006879789,0.010803432,0.008656517,0.003387324,0.011677621,0.004351549
"LTK",0.000126297,2.19e-06,0.000274556,4.89e-05,1.6e-05,0.000646818,0.000701031,0.000144766,8.01e-07,0.000355634,0
"LVRN",0,8.77e-05,6.56e-06,8.16e-06,5.6e-06,7.63e-06,1.31e-05,5.44e-06,5.6e-06,5.6e-06,0
"LY6D",5.99e-06,1.46e-06,0.003071665,2.06e-06,0.001359473,1.31e-05,0.003399658,0,0,2.17e-05,0
"LY6E",0.012231277,0.022358633,0.073968665,0.006526518,0.021907621,0.030183543,0.006456281,0.233747494,0.000705462,0.032175078,0.08771588
"LY6H",0,0,7.29e-06,0,0,0,0,0,0,3.06e-06,0
"LY6K",2.55e-05,0.001717268,0.000777161,0.000630339,0.000248213,0.000205493,0.000948648,0.003159945,0.001520176,0.006704372,2.5e-06
"LY75",0.001587541,0.000175785,0.000232247,5.56e-05,0.000249522,0.000804934,0.000200181,0.000136816,0.000114658,0.0023707,6.16e-05
"LY9",2.54e-05,0,7.61e-06,4.67e-05,1.19e-05,0,0,0,1.19e-05,0,2.59e-06
"LY96",0.000783578,0.001665432,0.00075344,0.003890024,0.002191057,0.000637825,0.000512339,0.001141384,0.00014607,0.002775338,0.001665489
"LYN",0.010053922,0.001015541,0.004847157,0.004778245,0.003390167,0.00390103,0.00598029,0.016758024,0.000720411,0.020787787,0.008102465
"LYPD1",8.34e-06,6.99e-07,2.68e-05,0.00151996,0.000119777,0.000127883,1.73e-05,1.62e-06,0.000191863,0.000219365,0
"LYPD2",0,1.64e-05,0,0,0.000338389,0,2.52e-06,0,0,0,0
"LYPD3",0.000693455,0.000179453,0.003618968,0.000727219,0.035997035,0.002399002,0.01304562,0.021277883,0.000628447,0,0.000175071
"LYPD4",0,0,0,0,0,1.55e-06,0,0,0,0,5.26e-07
"LYPD5",0.000593524,1.3e-05,0.000225486,0.000108603,4.71e-06,6.36e-05,2.68e-06,0.000196413,4.08e-05,0.00098943,1.85e-05
"LYPD6",3.08e-05,1.02e-05,3.67e-06,0.000233766,1.74e-05,8.8e-05,2.35e-05,0,3.16e-07,0,2.03e-05
"LYPD6B",4.94e-05,0.000795645,1.1e-05,0.003252166,0.001464311,0.000988712,0.001325971,0,0,0.000446563,0.000307478
"LYPD8",5.33e-06,8.58e-05,0,0,0,0,0.000234567,1.88e-05,0,7.85e-05,0
"LYSMD3",0.000797735,0.000366853,0.000875457,0.001015388,0.000334994,0.000489758,0.000858186,0.002682878,0.000922877,0.000646999,0.001291072
"LYVE1",0,0,0,0,0,0,0,0,0,0,0
"LZTS1",0.000268543,0.000641201,0.002953969,0,0.000117515,0.04648707,0,0.000137912,0,0.000352546,0
"MACF1",0.002803781,0.002584717,0.00237142,0.005624977,0.004031932,0.004924141,0.001946244,0.006772019,0.011476227,0.005913445,0.003627916
"MADCAM1",0.000120766,0.000124457,0,0.000256782,0.000119081,0.000248914,0.000422682,0.000975773,0.000119081,0.000416785,5.14e-05
"MAG",0,0,0,7.05e-06,5.91e-06,6.07e-07,5.17e-07,2.82e-06,0,7.09e-06,2.82e-06
"MAGI1",0.023521115,0.018744217,0.017953778,0.001604061,0.002295437,0.013364313,0.008595395,0.012483518,0.003959626,0.000730365,0.004438712
"MAGI2",5.24e-05,9.93e-05,4.72e-05,0.000439241,0.000596077,0.00060338,9.43e-05,5.36e-05,0.000331837,0.00026424,0.001049889
"MAGI3",0.000531389,0.002146232,0.000350015,0.000132555,0.001596469,0.001448217,0.000256107,0.001497946,0.001664826,0.001345093,0.000526987
"MAGT1",0.021000004,0.004470399,0.013080503,0.00439692,0.011587537,0.011919695,0.010025268,0.018790401,0.016726134,0.014701526,0.009771944
"MAL2",0.026446194,0.033070582,0.044674739,0.007640644,0.0060244,0.019476498,0.005201577,0.060042028,0.011283761,0.007786219,0.047991635
"MAMDC4",0.001212102,0.007089949,0.003514743,0.001844811,0.006715125,0.017330985,0.015876821,0.016319481,0.002638085,0.011894406,0.011778408
"MANSC1",0.005043019,0.007374016,0.002234363,0.009435036,0.041319134,0.011023541,0.002647693,0.013218496,0.011594909,0.006516597,0.009750249
"MANSC4",0,0,0,0,4.59e-06,6.85e-05,7.84e-06,1.6e-05,0,0,0
"MAP3K12",2.54e-05,7.1e-05,4.2e-05,0.000108828,0.000140007,0.000145081,1.9e-05,8.51e-05,8.48e-05,0.000175038,3.24e-05
"MAP4",0.223952912,0.02384819,0.113719154,0.035804641,0.045087036,0.089761952,0.09219045,0.071148307,0.081325267,0.140253167,0.030230963
"MAPKAP1",0.001543558,0.000583798,0.000764826,0.000436313,0.001398966,0.00224751,0.001144225,0.00073213,0.001614548,0.001843349,0.001019771
"MAS1",0,4.28e-07,0,9.77e-07,1e-06,4.28e-07,1.17e-06,0,0,0,0
"MBP",0.002442015,0.000491858,0.001667317,0.00100712,0.003186853,0.001483813,0.001181077,0.000533729,0.001957226,0.004930657,0.000368968
"MC1R",0.001518365,0.000477462,0.003999596,0.008776385,0.006312771,0.007569312,0.015402665,0.01368011,0.007234148,0.00871266,0.003016422
"MC4R",0,0,0,0,5.7e-05,0,0,0,0,0,0.000135997
"MC5R",0,0,0,0,0,0,0,0,0,0,0
"MCAM",0.003868373,0.000388811,0.014913444,0.001172554,0.002797851,0.020354818,0.000359206,0.000372862,0.003676599,0.021598333,0.000583824
"MCEMP1",0,0,0,0,5.57e-06,0,0,0,1.11e-05,0,0
"MCHR1",0,2.85e-05,2.02e-06,0,4.9e-06,2.38e-06,2.02e-06,2.34e-06,4.9e-06,4.9e-05,2.34e-06
"MCHR2",0,0,0,0,0,0,0,0,0,1.6e-05,0
"MCOLN1",1.29e-05,5.05e-06,1.75e-05,1.42e-05,2.56e-05,9.95e-06,2.39e-05,3.17e-05,3.59e-05,2.15e-05,9.78e-06
"MCOLN3",0.00126984,1.4e-05,1.19e-05,0,0.003192914,0.005425419,0,5.53e-05,0,0.006653109,6.91e-06
"MCTP2",0.0081827,3.18e-05,0.010079033,0.002290656,0.006425181,0.008224006,0.005988451,0.007069066,0,0.010848041,0.006001909
"MDGA1",5.41e-06,1.9e-05,6.19e-06,4.12e-05,0.000270154,9.31e-05,1.39e-05,2.42e-05,1.12e-05,2.88e-05,7.08e-06
"MDGA2",0,0,0,0,7.08e-06,8.12e-06,0,0,0,9.91e-05,6.92e-06
"MEGF10",1.55e-05,1.29e-06,1.01e-06,1.54e-05,1.07e-05,8.6e-06,4.04e-07,0,0.000295034,1.02e-06,4.35e-07
"MEGF11",0.000226564,0.000799263,0.00035437,0.001742194,1.63e-05,0.00021968,0.000220755,0.000111628,1.22e-05,0.000456321,0.000291026
"MEGF8",0.001091009,0.000321349,0.001020644,0.001077351,0.002090156,0.002708985,0.000540578,0.000618091,0.001240193,0.000510375,0.000602781
"MEGF9",0.000475514,0.000245087,0.000198665,2.13e-05,8.65e-05,0.000426677,0.00021073,0.000434249,5.1e-05,3.98e-05,0.000384748
"MEP1A",0,0,0,0,0,7.37e-06,0,0,0,0,3.06e-05
"MEP1B",0,0,0,0,2.07e-06,0,0,0,0,0,0
"MERTK",0.002113601,0.000705544,0.001913102,0.000316832,0.000220381,0.000344523,1.34e-05,0.001497069,0.000327758,0.001658157,0.000377019
"MET",0.035724681,0.001862464,0.026891969,0.003303448,0.001766117,0.006305604,0.00364597,0.042602662,0.003366569,0.057882379,0.001880321
"MFAP3",0.001321783,0.000325866,0.001362723,0.001218947,0.002372499,0.002378662,0.001485544,0.00171201,0.009327973,0.004131621,0.00113677
"MFAP3L",7.75e-06,7.91e-05,3.88e-05,0.000896186,0.00099049,0.001344013,0.003712613,0,7.27e-05,1.82e-05,7.92e-06
"MFGE8",0.000335047,0.002496652,0.006883506,0.002807558,0.001937434,0.007996661,0.000234533,0.000698351,0.000591196,0.001321879,0.000311427
"MFNG",0.000126222,0.000246884,7.36e-05,0.000559562,0.0010576,0.000191335,0.000120963,0.000473488,0.000132201,0.000168256,0.000215222
"MFRP",0,0,0,0,0,0,0,0,0,0,0
"MFSD1",0.02789766,0.008173313,0.022688887,0.012135674,0.014812777,0.034750301,0.012924342,0.041610996,0.009358128,0.015931682,0.018379293
"MFSD11",0.004195405,0.00346767,0.006486097,0.006360821,0.00467959,0.007487028,0.003579858,0.011929429,0.002430819,0.006825261,0.004751967
"MFSD12",0.000260406,1.84e-05,0.000165154,5.14e-05,3.6e-05,4.69e-05,0.001223306,0.000176977,8.34e-05,0.000175139,5.7e-05
"MFSD2A",0.007175117,0.030313677,0.004602949,0.009293355,0.007066286,0.038960006,0.006227519,0.028339992,0.002578222,0.005872617,0.093728633
"MFSD2B",0.008786817,0.000978893,0.007497044,0.00084729,0.000256293,0.002167549,0.000717978,0.000360933,0.000973915,0.001999397,0.000601555
"MFSD6",0.070404923,0.045494417,0.110931561,0.039114853,0.136268756,0.163835945,0.039383891,0.051074722,0.101624991,0.083086632,0.03866155
"MFSD6L",0,0.000859476,0,0.013767783,0,0.001227823,0.006373517,0.000728883,0,7.6e-05,0
"MFSD8",0.028079353,0.026470578,0.034791004,0.017363406,0.022948039,0.035651512,0.036914008,0.025871749,0.028123554,0.077632728,0.024434587
"MGAM",0,0.000249908,0,0.018009571,0.017031731,8.33e-05,0.00177456,0,0,0.000486621,0.007746052
"MGAT5B",2.18e-06,0,0.000427138,6.67e-06,2.21e-05,0.000206063,1.45e-06,0.00018454,0.000272921,1.45e-05,2.22e-06
