,tissueType,cellName,CellMarker,shortName,type
3346,Muscle,Lymphatic endothelial cells,PCLO,,other
3347,Muscle,Lymphatic endothelial cells,IL7,,other
3348,Muscle,Lymphatic endothelial cells,P4HA3,,other
3349,Muscle,Lymphatic endothelial cells,C6orf141,,other
3350,Muscle,Lymphatic endothelial cells,PIK3C2G,,other
3351,Muscle,Lymphatic endothelial cells,ASGR2,,other
3352,Muscle,Lymphatic endothelial cells,ANKRD36BP2,,other
3353,Muscle,Lymphatic endothelial cells,NALCN,,other
3354,Muscle,Lymphatic endothelial cells,FAM26F,,other
3355,Muscle,Lymphatic endothelial cells,NHLRC1,,other
3356,Muscle,Erythroblasts,RHAG,,other
3357,Muscle,Erythroblasts,GYPA,,other
3358,Muscle,Erythroblasts,AHSP,,other
3359,Muscle,Erythroblasts,GYPB,,other
3360,Muscle,Erythroblasts,HBZ,,other
3361,Muscle,Erythroblasts,ALAS2,,other
3362,Muscle,Erythroblasts,SLC4A1,,other
3363,Muscle,Erythroblasts,SLC14A1,,other
3364,Muscle,Erythroblasts,EIF5AP2,,other
3365,Muscle,Erythroblasts,HBM,,other
3366,Muscle,Erythroblasts,HBA1,,other
3367,Muscle,Erythroblasts,EPB42,,other
3368,Muscle,Erythroblasts,RP11-57H12.2,,other
3369,Muscle,Erythroblasts,ALS2CR12,,other
3370,Muscle,Erythroblasts,SLC25A37,,other
3371,Muscle,Skeletal muscle cells,RP11-755O11.2,,other
3372,Muscle,Skeletal muscle cells,ASB15,,other
3373,Muscle,Skeletal muscle cells,RP11-456H18.2,,other
3374,Muscle,Skeletal muscle cells,RPL7P3,,other
3375,Muscle,Skeletal muscle cells,PVALB,,other
3376,Muscle,Skeletal muscle cells,RN7SL365P,,other
3377,Muscle,Skeletal muscle cells,RP11-432J24.5,,other
3378,Muscle,Skeletal muscle cells,C8orf22,,other
3379,Muscle,Skeletal muscle cells,ASB10,,other
3380,Muscle,Skeletal muscle cells,RP5-921G16.2,,other
3381,Muscle,Skeletal muscle cells,CLDN9,,other
3382,Muscle,Skeletal muscle cells,RP5-1039K5.13,,other
3383,Muscle,Skeletal muscle cells,AC137723.5,,other
3384,Muscle,Skeletal muscle cells,RP11-255G21.1,,other
3385,Muscle,Skeletal muscle cells,AC093063.2,,other
3386,Muscle,Stromal cells,WSCD2,,other
3387,Muscle,Stromal cells,C13orf45,,other
3388,Muscle,Stromal cells,LINC00645,,other
3389,Muscle,Stromal cells,RP1-300G12.2,,other
3390,Muscle,Stromal cells,RP11-217C7.1,,other
3391,Muscle,Stromal cells,RP11-332E3.2,,other
3392,Muscle,Stromal cells,RP11-473E2.4,,other
3393,Muscle,Stromal cells,CTD-2555C10.3,,other
3394,Muscle,Stromal cells,RP11-342A23.1,,other
3395,Muscle,Stromal cells,WNT10B,,other
3396,Muscle,Stromal cells,ACKR4,,other
3397,Muscle,Stromal cells,DIO3,,other
3398,Muscle,Stromal cells,CCDC129,,other
3399,Muscle,Stromal cells,ZCCHC5,,other
3400,Muscle,Stromal cells,RP11-38H17.1,,other
3401,Muscle,Satellite cells,AC004014.3,,other
3402,Muscle,Satellite cells,MYEOV,,other
3403,Muscle,Satellite cells,TACR3,,other
3404,Muscle,Satellite cells,GDPD4,,other
3405,Muscle,Satellite cells,USP44,,other
3406,Muscle,Satellite cells,RGR,,other
3407,Muscle,Satellite cells,RP11-320P7.2,,other
3408,Muscle,Satellite cells,FAM132B,,other
3409,Muscle,Satellite cells,GPR123,,other
3410,Muscle,Satellite cells,CTB-175P5.4,,other
3411,Muscle,Satellite cells,ENPP7P10,,other
3412,Muscle,Satellite cells,CHRDL2,,other
3413,Muscle,Satellite cells,PAX7,,other
3414,Muscle,Satellite cells,RP11-706J10.1,,other
3415,Muscle,Satellite cells,MAPK15,,other
3416,Muscle,Vascular endothelial cells,MIR4454,,other
3417,Muscle,Vascular endothelial cells,SLC5A4,,other
3418,Muscle,Vascular endothelial cells,AL118508.1,,other
3419,Muscle,Vascular endothelial cells,CA4,,other
3420,Muscle,Vascular endothelial cells,RP11-206M11.7,,other
3421,Muscle,Vascular endothelial cells,PRSS51,,other
3422,Muscle,Vascular endothelial cells,NOS3,,other
3423,Muscle,Vascular endothelial cells,GRIN2A,,other
3424,Muscle,Vascular endothelial cells,GFRAL,,other
3425,Muscle,Vascular endothelial cells,CD300LG,,other
3426,Muscle,Vascular endothelial cells,MADCAM1,,other
3427,Muscle,Vascular endothelial cells,RP11-327L3.3,,other
3428,Muscle,Vascular endothelial cells,C1QTNF9,,other
